SeriesNumber,DumpNumber,EventTriggerID
23231216013604,5,4029
23231216013604,6,5226
23231216013604,6,5231
23231216013604,6,5306
23231216013604,6,5363
23231216013604,7,6682
23231216013604,8,7961
23231216013604,8,8605
23231216013604,9,9185
23231216013604,9,9387
23231216013604,9,9588
23231216013604,10,10473
23231216013604,10,10588
23231216013604,10,10701
23231216013604,10,10953
23231216013604,10,10955
23231216013604,10,11054
23231216013604,10,11519
23231216013604,11,11719
23231216013604,11,12743
23231216013604,12,13371
23231216013604,13,15544
23231216013604,14,15639
23231216013604,14,15655
23231216013604,14,15714
23231216013604,14,15888
23231216013604,14,15895
23231216013604,14,16673
23231216013604,15,17009
23231216013604,15,17246
23231216013604,15,17863
23231216013604,16,18729
23231216013604,16,19481
23231216013604,17,19748
23231216013604,17,20019
23231216013604,17,20704
23231216013604,18,21010
23231216013604,18,21465
23231216013604,18,21597
23231216013604,19,22298
23231216013604,19,22321
23231216013604,20,24023
23231216013604,20,24652
23231216013604,21,25286
23231216013604,21,25721
23231216013604,21,26243
23231216013604,22,27261
23231216013604,22,27398
23231216013604,23,27786
23231216013604,23,28141
23231216013604,23,28516
23231216013604,24,29394
23231216013604,24,29570
23231216013604,25,30428
23231216013604,25,30597
23231216013604,25,31004
23231216013604,25,31054
23231216013604,25,31230
23231216013604,25,31492
23231216013604,26,32090
23231216013604,26,32710
23231216013604,27,32947
23231216013604,27,33542
23231216013604,28,34852
23231216013604,28,35283
23231216013604,29,36240
23231216013604,29,36756
23231216013604,29,36760
23231216013604,30,36970
23231216013604,30,36996
23231216013604,30,36998
23231216013604,30,37012
23231216013604,30,37338
23231216013604,30,37358
23231216013604,30,37492
23231216013604,30,37712
23231216013604,30,37761
23231216013604,31,38281
23231216013604,31,38558
23231216013604,31,38924
23231216013604,31,39081
23231216013604,31,39083
23231216013604,32,39671
23231216013604,32,39879
23231216013604,32,39957
23231216013604,32,40281
23231216013604,33,41027
23231216013604,33,41924
23231216013604,34,42403
23231216013604,34,42587
23231216013604,34,43397
23231216013604,34,43434
23231216013604,34,43449
23231216013604,35,44064
23231216013604,35,44606
23231216013604,35,44846
23231216013604,35,44856
23231216013604,36,44991
23231216013604,36,45574
23231216013604,36,45780
23231216043946,4,3229
23231216043946,4,3427
23231216043946,5,4145
23231216043946,5,4467
23231216043946,5,4470
23231216043946,5,4703
23231216043946,5,4927
23231216043946,6,5948
23231216043946,6,6285
23231216043946,6,6389
23231216043946,6,6463
23231216043946,7,6563
23231216043946,7,6811
23231216043946,7,7727
23231216043946,8,8408
23231216043946,8,8525
23231216043946,8,8994
23231216043946,8,9014
23231216043946,9,9937
23231216043946,9,10257
23231216043946,9,10261
23231216043946,10,10633
23231216043946,10,10724
23231216043946,10,11142
23231216043946,10,11144
23231216043946,11,12330
23231216043946,11,12379
23231216043946,11,12791
23231216043946,12,13287
23231216043946,12,13535
23231216043946,12,14432
23231216043946,13,14740
23231216043946,13,14753
23231216043946,13,14814
23231216043946,13,14817
23231216043946,13,15131
23231216043946,13,15277
23231216043946,13,15515
23231216043946,14,16647
23231216043946,14,16949
23231216043946,15,17641
23231216043946,15,17667
23231216043946,15,18388
23231216043946,15,18390
23231216043946,16,19015
23231216043946,16,19399
23231216043946,16,19401
23231216043946,16,19878
23231216043946,17,20296
23231216043946,17,20300
23231216043946,17,20733
23231216043946,17,20774
23231216043946,17,20826
23231216043946,17,20833
23231216043946,17,20960
23231216043946,17,20998
23231216043946,17,21008
23231216043946,17,21106
23231216043946,18,21538
23231216043946,18,21640
23231216043946,18,22029
23231216043946,19,23402
23231216043946,19,23547
23231216043946,19,23590
23231216043946,19,23719
23231216043946,20,24036
23231216043946,20,24039
23231216043946,20,24313
23231216043946,20,24494
23231216043946,20,24815
23231216043946,21,25669
23231216043946,21,25987
23231216043946,21,25991
23231216043946,21,26157
23231216043946,21,26629
23231216043946,21,26649
23231216043946,22,27445
23231216043946,22,27536
23231216043946,22,27622
23231216043946,22,27712
23231216043946,22,27949
23231216043946,22,28031
23231216043946,22,28033
23231216043946,23,28173
23231216043946,23,28635
23231216043946,23,28652
23231216043946,23,29033
23231216043946,24,29459
23231216043946,24,29564
23231216043946,24,29565
23231216043946,24,29715
23231216043946,24,29720
23231216043946,24,29794
23231216043946,24,29905
23231216043946,24,30162
23231216043946,24,30402
23231216043946,24,30497
23231216043946,24,30782
23231216043946,25,30846
23231216043946,25,31077
23231216043946,25,31257
23231216043946,25,31294
23231216043946,25,31297
23231216043946,25,31310
23231216043946,25,31470
23231216043946,25,31474
23231216043946,25,31600
23231216043946,25,32128
23231216043946,26,32409
23231216043946,26,32740
23231216043946,26,33038
23231216043946,26,33225
23231216043946,26,33365
23231216043946,26,33556
23231216043946,27,34024
23231216043946,27,34458
23231216043946,28,35407
23231216043946,28,35559
23231216043946,28,35561
23231216043946,29,36832
23231216043946,29,36839
23231216043946,29,36946
23231216043946,29,37001
23231216043946,29,37288
23231216043946,29,37296
23231216043946,29,37393
23231216043946,30,38100
23231216043946,30,38102
23231216043946,30,38139
23231216043946,30,38665
23231216043946,30,38987
23231216043946,30,39020
23231216043946,31,39159
23231216043946,31,39247
23231216043946,31,40372
23231216043946,32,40536
23231216043946,32,40539
23231216043946,32,40740
23231216043946,32,40919
23231216043946,32,41150
23231216043946,32,41162
23231216043946,33,41899
23231216043946,33,42212
23231216043946,33,42386
23231216043946,33,42884
23231216043946,34,43599
23231216043946,34,44053
23231216043946,34,44411
23231216043946,35,44681
23231216043946,35,44699
23231216043946,35,45101
23231216043946,35,45321
23231216043946,35,45496
23231216043946,36,46317
23231216043946,36,46327
23231216043946,36,46555
23231216043946,36,46559
23231216043946,36,47278
23231216043946,37,47627
23231216043946,37,48137
23231216043946,37,48317
23231216043946,37,48827
23231216043946,38,49050
23231216043946,38,49152
23231216043946,38,49214
23231216043946,38,49777
23231216043946,39,50271
23231216043946,39,50464
23231216043946,39,50501
23231216043946,39,51274
23231216043946,39,51351
23231216043946,39,51541
23231216043946,40,53067
23231216043946,41,53126
23231216043946,41,53351
23231216043946,41,53729
23231216043946,41,54324
23231216043946,42,55184
23231216043946,42,55189
23231216043946,42,55421
23231216043946,42,55531
23231216043946,42,55533
23231216043946,43,56263
23231216043946,43,56345
23231216043946,44,57467
23231216043946,44,57545
23231216043946,44,57889
23231216043946,44,58074
23231216043946,44,58110
23231216043946,45,58923
23231216043946,45,59352
23231216043946,45,59398
23231216043946,45,59400
23231216043946,45,59590
23231216043946,46,59840
23231216043946,46,60443
23231216043946,46,60727
23231216043946,47,61726
23231216043946,47,61740
23231216043946,47,61742
23231216043946,47,61893
23231216043946,47,62259
23231216043946,48,63056
23231216043946,48,63272
23231216043946,48,63361
23231216043946,48,63649
23231216043946,49,63788
23231216043946,49,63960
23231216043946,49,64337
23231216043946,49,64340
23231216043946,49,64452
23231216043946,49,64484
23231216043946,49,64486
23231216043946,50,65126
23231216043946,50,65351
23231216043946,50,66421
23231216043946,51,66560
23231216043946,51,66937
23231216043946,51,66939
23231216043946,52,68549
23231216043946,52,68642
23231216043946,52,68911
23231216043946,53,70098
23231216043946,53,70458
23231216043946,54,71441
23231216043946,54,71566
23231216043946,54,71570
23231216043946,54,71677
23231216043946,54,71680
23231216043946,54,71961
23231216043946,55,72161
23231216043946,55,72572
23231216043946,55,72727
23231216043946,55,73238
23231216043946,55,73240
23231216043946,55,73264
23231216043946,56,73916
23231216043946,56,73917
23231216043946,56,74325
23231216043946,56,74520
23231216043946,57,75098
23231216043946,57,75746
23231216043946,57,76094
23231216043946,58,76380
23231216043946,58,76671
23231216043946,58,76978
23231216043946,58,77018
23231216043946,59,78258
23231216043946,59,78504
23231216043946,59,78506
23231216043946,59,78510
23231216043946,59,78512
23231216043946,59,78565
23231216043946,60,79051
23231216043946,60,79130
23231216043946,61,80260
23231216043946,61,80909
23231216043946,61,81110
23231216043946,61,81112
23231216043946,63,83228
23231216043946,63,83421
23231216043946,63,83424
23231216043946,64,84758
23231216043946,64,84760
23231216043946,64,84907
23231216100125,4,3371
23231216100125,4,3477
23231216100125,4,3480
23231216100125,4,3817
23231216100125,4,3863
23231216100125,5,3886
23231216100125,5,3996
23231216100125,5,4233
23231216100125,5,4279
23231216100125,5,4305
23231216100125,5,4382
23231216100125,5,4401
23231216100125,5,4558
23231216100125,5,5088
23231216100125,6,5917
23231216100125,6,6361
23231216100125,7,6880
23231216100125,7,7088
23231216100125,7,7215
23231216100125,7,7763
23231216100125,8,8026
23231216100125,8,8250
23231216100125,8,8495
23231216100125,8,9201
23231216100125,9,9543
23231216100125,9,9631
23231216100125,9,9837
23231216100125,9,10659
23231216100125,10,11533
23231216100125,10,11537
23231216100125,10,11774
23231216100125,10,11867
23231216145300,1,81
23231216145300,1,99
23231216145300,1,363
23231216145300,1,397
23231216145300,1,855
23231216145300,2,2191
23231216145300,3,3709
23231216145300,3,3740
23231216145300,3,3916
23231216145300,3,4161
23231216145300,3,4676
23231216145300,3,4757
23231216145300,4,5215
23231216145300,4,5554
23231216145300,4,5604
23231216145300,4,6485
23231216145300,5,8332
23231216145300,5,8395
23231216145300,6,8804
23231216145300,6,8981
23231216145300,6,9091
23231216145300,6,9265
23231216145300,6,9767
23231216145300,6,10186
23231216145300,7,10924
23231216145300,7,11186
23231216145300,7,11692
23231216145300,7,11974
23231216145300,8,12836
23231216145300,8,13447
23231216145300,9,14842
23231216145300,9,15020
23231216145300,10,15908
23231216145300,10,16215
23231216145300,11,19365
23231216145300,11,19368
23231216145300,12,19915
23231216145300,12,20258
23231216145300,12,20857
23231216145300,12,20861
23231216145300,13,22014
23231216145300,14,23296
23231216145300,14,23409
23231216145300,14,24069
23231216145300,15,25241
23231216145300,17,28846
23231216145300,17,29244
23231216145300,17,29280
23231216145300,17,29541
23231216145300,18,30391
23231216145300,18,30737
23231216145300,19,32938
23231216145300,19,33460
23231216145300,19,33596
23231216145300,19,33601
23231216145300,20,33669
23231216145300,20,33723
23231216145300,20,34447
23231216145300,20,34472
23231216145300,20,34626
23231216145300,20,34767
23231216145300,21,36532
23231216145300,21,36537
23231216145300,21,36683
23231216145300,21,36692
23231216145300,21,36695
23231216145300,21,36826
23231216145300,23,39100
23231216145300,23,39820
23231216145300,23,40236
23231216145300,24,41360
23231216145300,24,42281
23231216145300,24,42286
23231216145300,25,42796
23231216145300,25,43158
23231216145300,25,43164
23231216145300,25,43172
23231216145300,25,43175
23231216145300,25,43530
23231216145300,25,43536
